housenum,acre,bedrooms,bikescore,distance,garage_spaces,latitude,longitude,full_baths,half_baths,total_rooms,price2014,squarefeet,walkscore
1,0.28,3,35,2.4,2,42.315334,-72.693973,1,0,5,210.729,966,9
2,0.29,3,44,1.97,1,42.298557,-72.674744,1,0,5,204.171,960,5
3,0.36,3,66,0.043371212,2,42.343788,-72.680235,2,1,7,338.662,1725,46
4,0.26,3,61,0.554734848,1,42.344462,-72.672208,1,1,6,276.25,1727,40
5,0.31,4,53,0.596590909,0,42.342528,-72.664372,1,0,6,169.173,1576,32
6,0.31,3,36,1.88,1,42.318737,-72.690965,1,1,6,211.487,1320,12
7,0.08,3,97,0.444886364,0,42.323106,-72.633517,1,0,6,311.456,1202,82
8,0.11,4,95,0.444886364,0,42.322986,-72.633565,1,1,9,377.857,2136,88
9,0.31,5,38,1.93,0,42.315429,-72.670203,2,0,7,227.681,1918,15
10,0.27,3,30,2.873030303,0,42.310364,-72.69491,1,0,5,224.366,1008,9
11,0.27,3,46,0.756628788,0,42.345666,-72.668673,2,0,5,218.785,1296,35
12,0.51,3,38,1.41,2,42.319053,-72.664917,1,0,7,269.62,1432,20
13,0.23,4,79,1.42155303,0,42.310611,-72.633241,2,0,8,447.842,2040,68
14,0.11,3,85,0.246780303,0,42.326163,-72.639853,1,1,6,386.446,1604,65
15,0.15,4,74,0.396022727,0,42.325698,-72.640736,2,0,9,528.114,2278,68
16,0.23,3,36,1.567234848,0,42.320944,-72.67951,1,0,6,221.22,1208,20
17,0.23,5,37,1.676704545,0,42.319672,-72.678576,2,0,7,320.206,1744,17
18,0.23,3,36,1.598674242,0,42.320531,-72.679207,1,0,5,179.487,1008,17
19,0.31,4,79,0.103030303,0,42.308126,-72.646001,1,1,8,243.639,1922,49
20,0.07,4,94,0.3375,0,42.311589,-72.635034,2,0,8,325.666,2100,80
21,0.23,4,54,1,1,42.32391,-72.656634,2,0,7,282.765,1664,29
22,0.17,2,70,0.042045455,1,42.343097,-72.679185,1,0,5,198.686,892,45
23,0.33,3,29,2.15,0,42.306509,-72.674787,1,0,5,168.761,1010,3
24,0.33,3,32,2.621401515,0,42.311922,-72.696602,1,1,6,200.871,1248,11
25,0.31,3,33,2.579734848,1,42.312961,-72.696535,2,0,6,237.206,1300,9
26,0.34,3,31,2.7,1,42.310772,-72.696702,1,0,5,205.77,1040,9
